Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,NPS
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,405.0,8.0,,,,,0
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,172.0,4.0,,,,,-100
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,203.0,10.0,,,,,100
ID0059,Dan,2021-01-02,9:05:46,Technical Support,Y,Y,65.0,360.0,10.0,,,,,100
ID0060,Dan,2021-01-02,9:05:46,Contract related,Y,Y,50.0,266.0,6.0,,,,,-100
ID0061,Diane,2021-01-02,9:18:43,Streaming,Y,Y,17.0,375.0,6.0,,,,,-100
ID0063,Dan,2021-01-02,9:20:10,Streaming,Y,Y,96.0,406.0,2.0,,,,,-100
ID0064,Stewart,2021-01-02,9:20:10,Streaming,Y,Y,90.0,383.0,6.0,,,,,-100
ID0065,Jim,2021-01-02,9:38:53,Contract related,Y,Y,98.0,385.0,4.0,,,,,-100
ID0066,Diane,2021-01-02,9:38:53,Technical Support,Y,N,90.0,83.0,8.0,,,,,0
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,349.0,10.0,,,,,100
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,192.0,10.0,,,,,100
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,285.0,8.0,,,,,0
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,131.0,8.0,,,,,0
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,351.0,10.0,,,,,100
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,139.0,10.0,,,,,100
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,293.0,2.0,,,,,-100
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,98.0,6.0,,,,,-100
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,398.0,4.0,,,,,-100
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,382.0,4.0,,,,,-100
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,208.0,6.0,,,,,-100
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,287.0,10.0,,,,,100
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,126.0,8.0,,,,,0
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,416.0,8.0,,,,,0
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,284.0,6.0,,,,,-100
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,359.0,8.0,,,,,0
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,262.0,10.0,,,,,100
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,276.0,6.0,,,,,-100
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,86.0,8.0,,,,,0
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,212.0,8.0,,,,,0
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,341.0,2.0,,,,,-100
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,88.0,6.0,,,,,-100
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,172.0,6.0,,,,,-100
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,53.0,6.0,,,,,-100
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,96.0,6.0,,,,,-100
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,234.0,4.0,,,,,-100
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,123.0,8.0,,,,,0
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,397.0,6.0,,,,,-100
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,311.0,2.0,,,,,-100
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,331.0,2.0,,,,,-100
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,236.0,4.0,,,,,-100
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,396.0,2.0,,,,,-100
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,205.0,10.0,,,,,100
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,297.0,6.0,,,,,-100
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,152.0,2.0,,,,,-100
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,158.0,4.0,,,,,-100
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,56.0,6.0,,,,,-100
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,366.0,10.0,,,,,100
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,361.0,6.0,,,,,-100
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,347.0,10.0,,,,,100
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,318.0,8.0,,,,,0
ID0119,Dan,2021-01-03,9:10:05,Payment related,Y,N,124.0,143.0,10.0,,,,,100
ID0121,Dan,2021-01-03,9:47:31,Technical Support,Y,Y,103.0,61.0,8.0,,,,,0
ID0122,Martha,2021-01-03,9:47:31,Contract related,Y,Y,69.0,225.0,8.0,,,,,0
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,72.0,6.0,,,,,-100
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,206.0,10.0,,,,,100
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,338.0,8.0,,,,,0
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,166.0,8.0,,,,,0
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,326.0,8.0,,,,,0
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,351.0,6.0,,,,,-100
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,249.0,6.0,,,,,-100
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,59.0,10.0,,,,,100
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,340.0,8.0,,,,,0
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,53.0,4.0,,,,,-100
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,133.0,2.0,,,,,-100
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,359.0,6.0,,,,,-100
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,192.0,10.0,,,,,100
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,380.0,10.0,,,,,100
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,104.0,6.0,,,,,-100
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,103.0,10.0,,,,,100
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,164.0,8.0,,,,,0
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,136.0,6.0,,,,,-100
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,175.0,10.0,,,,,100
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,249.0,10.0,,,,,100
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,87.0,10.0,,,,,100
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,50.0,8.0,,,,,0
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,266.0,6.0,,,,,-100
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,58.0,2.0,,,,,-100
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,363.0,2.0,,,,,-100
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,419.0,8.0,,,,,0
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67.0,370.0,10.0,,,,,100
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119.0,256.0,6.0,,,,,-100
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98.0,277.0,4.0,,,,,-100
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118.0,258.0,6.0,,,,,-100
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123.0,75.0,6.0,,,,,-100
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86.0,337.0,2.0,,,,,-100
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104.0,129.0,6.0,,,,,-100
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69.0,93.0,4.0,,,,,-100
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113.0,158.0,2.0,,,,,-100
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88.0,203.0,10.0,,,,,100
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84.0,58.0,4.0,,,,,-100
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113.0,82.0,6.0,,,,,-100
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38.0,331.0,8.0,,,,,0
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14.0,374.0,8.0,,,,,0
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25.0,332.0,8.0,,,,,0
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117.0,127.0,8.0,,,,,0
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57.0,361.0,4.0,,,,,-100
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119.0,319.0,10.0,,,,,100
ID0178,Diane,2021-01-04,9:01:26,Streaming,Y,Y,93.0,392.0,10.0,,,,,100
ID0179,Martha,2021-01-04,9:31:41,Payment related,Y,Y,86.0,64.0,8.0,,,,,0
ID0181,Dan,2021-01-04,9:43:12,Contract related,Y,Y,92.0,179.0,6.0,,,,,-100
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106.0,342.0,6.0,,,,,-100
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67.0,164.0,6.0,,,,,-100
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90.0,257.0,6.0,,,,,-100
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50.0,229.0,8.0,,,,,0
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89.0,256.0,6.0,,,,,-100
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74.0,378.0,6.0,,,,,-100
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63.0,142.0,4.0,,,,,-100
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45.0,391.0,10.0,,,,,100
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31.0,403.0,4.0,,,,,-100
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43.0,224.0,10.0,,,,,100
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50.0,342.0,8.0,,,,,0
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48.0,312.0,8.0,,,,,0
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113.0,164.0,10.0,,,,,100
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103.0,400.0,10.0,,,,,100
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95.0,267.0,6.0,,,,,-100
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30.0,304.0,2.0,,,,,-100
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124.0,199.0,6.0,,,,,-100
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17.0,123.0,10.0,,,,,100
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113.0,360.0,6.0,,,,,-100
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25.0,147.0,10.0,,,,,100
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52.0,262.0,10.0,,,,,100
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28.0,164.0,10.0,,,,,100
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69.0,185.0,6.0,,,,,-100
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106.0,232.0,6.0,,,,,-100
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26.0,299.0,6.0,,,,,-100
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53.0,355.0,8.0,,,,,0
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77.0,250.0,4.0,,,,,-100
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45.0,182.0,6.0,,,,,-100
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56.0,256.0,8.0,,,,,0
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13.0,236.0,4.0,,,,,-100
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120.0,410.0,10.0,,,,,100
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22.0,50.0,2.0,,,,,-100
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81.0,201.0,8.0,,,,,0
ID0223,Martha,2021-01-04,16:49:26,Contract related,Y,Y,71.0,48.0,4.0,,,,,-100
ID0224,Stewart,2021-01-04,16:49:26,Payment related,Y,Y,75.0,93.0,8.0,,,,,0
ID0225,Martha,2021-01-04,16:49:26,Technical Support,Y,Y,77.0,162.0,8.0,,,,,0
ID0226,Joe,2021-01-04,16:49:26,Streaming,Y,Y,88.0,387.0,8.0,,,,,0
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,Y,Y,82.0,185.0,4.0,,,,,-100
ID0228,Jim,2021-01-04,17:35:31,Technical Support,Y,Y,110.0,390.0,6.0,,,,,-100
ID0229,Martha,2021-01-04,17:39:50,Admin Support,Y,N,70.0,92.0,6.0,,,,,-100
ID0230,Becky,2021-01-04,17:39:50,Admin Support,Y,Y,117.0,220.0,6.0,,,,,-100
ID0231,Joe,2021-01-05,9:08:38,Streaming,Y,Y,18.0,50.0,6.0,,,,,-100
ID0232,Joe,2021-01-05,9:08:38,Streaming,Y,Y,113.0,156.0,8.0,,,,,0
ID0233,Stewart,2021-01-05,9:25:55,Contract related,Y,N,68.0,209.0,10.0,,,,,100
ID0234,Greg,2021-01-05,9:25:55,Payment related,Y,Y,67.0,254.0,10.0,,,,,100
ID0235,Joe,2021-01-05,9:33:07,Technical Support,Y,Y,36.0,67.0,10.0,,,,,100
ID0237,Becky,2021-01-05,10:00:29,Technical Support,Y,Y,33.0,150.0,2.0,,,,,-100
ID0238,Dan,2021-01-05,10:00:29,Contract related,Y,Y,113.0,119.0,10.0,,,,,100
ID0239,Greg,2021-01-05,10:49:26,Contract related,Y,Y,106.0,379.0,6.0,,,,,-100
ID0240,Joe,2021-01-05,10:49:26,Streaming,Y,Y,23.0,299.0,6.0,,,,,-100
ID0242,Greg,2021-01-05,11:31:12,Payment related,Y,Y,11.0,282.0,2.0,,,,,-100
ID0243,Greg,2021-01-05,11:41:17,Contract related,Y,Y,73.0,285.0,10.0,,,,,100
ID0244,Dan,2021-01-05,11:41:17,Admin Support,Y,Y,109.0,289.0,10.0,,,,,100
ID0245,Martha,2021-01-05,11:49:55,Payment related,Y,Y,29.0,254.0,8.0,,,,,0
ID0247,Becky,2021-01-05,11:49:55,Admin Support,Y,Y,81.0,74.0,8.0,,,,,0
ID0248,Greg,2021-01-05,11:49:55,Contract related,Y,Y,59.0,232.0,2.0,,,,,-100
ID0249,Becky,2021-01-05,12:00:00,Streaming,Y,Y,32.0,389.0,8.0,,,,,0
ID0250,Martha,2021-01-05,12:00:00,Admin Support,Y,Y,116.0,42.0,8.0,,,,,0
ID0251,Diane,2021-01-05,12:12:58,Payment related,Y,Y,92.0,115.0,10.0,,,,,100
ID0252,Greg,2021-01-05,12:12:58,Streaming,Y,Y,62.0,362.0,10.0,,,,,100
ID0253,Joe,2021-01-05,13:04:48,Payment related,Y,Y,83.0,113.0,10.0,,,,,100
ID0254,Joe,2021-01-05,13:04:48,Admin Support,Y,Y,71.0,151.0,6.0,,,,,-100
ID0255,Greg,2021-01-05,13:59:31,Admin Support,Y,N,74.0,272.0,6.0,,,,,-100
ID0256,Joe,2021-01-05,13:59:31,Technical Support,Y,Y,96.0,346.0,8.0,,,,,0
ID0257,Diane,2021-01-05,14:42:43,Admin Support,Y,Y,110.0,101.0,2.0,,,,,-100
ID0258,Jim,2021-01-05,14:42:43,Streaming,Y,N,110.0,158.0,6.0,,,,,-100
ID0259,Dan,2021-01-05,15:18:43,Technical Support,Y,Y,117.0,183.0,8.0,,,,,0
ID0260,Becky,2021-01-05,15:18:43,Admin Support,Y,Y,44.0,353.0,6.0,,,,,-100
ID0261,Diane,2021-01-05,15:20:10,Contract related,Y,Y,47.0,362.0,8.0,,,,,0
ID0262,Greg,2021-01-05,15:20:10,Admin Support,Y,Y,97.0,76.0,6.0,,,,,-100
ID0263,Greg,2021-01-05,15:31:41,Streaming,Y,Y,67.0,159.0,8.0,,,,,0
ID0264,Diane,2021-01-05,15:31:41,Streaming,Y,Y,72.0,408.0,6.0,,,,,-100
ID0265,Becky,2021-01-05,15:31:41,Contract related,Y,Y,68.0,261.0,6.0,,,,,-100
ID0266,Joe,2021-01-05,15:31:41,Payment related,Y,Y,98.0,382.0,10.0,,,,,100
ID0267,Joe,2021-01-05,15:37:26,Streaming,Y,Y,120.0,56.0,6.0,,,,,-100
ID0268,Dan,2021-01-05,15:37:26,Payment related,Y,Y,13.0,153.0,2.0,,,,,-100
ID0269,Jim,2021-01-05,15:44:38,Admin Support,Y,Y,95.0,107.0,10.0,,,,,100
ID0270,Martha,2021-01-05,15:44:38,Payment related,Y,Y,31.0,42.0,10.0,,,,,100
ID0271,Dan,2021-01-05,16:06:14,Streaming,Y,Y,113.0,382.0,6.0,,,,,-100
ID0272,Martha,2021-01-05,16:06:14,Technical Support,Y,Y,116.0,280.0,6.0,,,,,-100
ID0273,Martha,2021-01-05,16:16:19,Admin Support,Y,N,94.0,329.0,10.0,,,,,100
ID0274,Martha,2021-01-05,16:16:19,Admin Support,Y,N,51.0,282.0,8.0,,,,,0
ID0275,Diane,2021-01-05,16:27:50,Technical Support,Y,Y,60.0,247.0,8.0,,,,,0
ID0276,Diane,2021-01-05,16:27:50,Contract related,Y,Y,59.0,364.0,4.0,,,,,-100
ID0280,Dan,2021-01-05,17:29:46,Contract related,Y,Y,16.0,213.0,8.0,,,,,0
ID0281,Diane,2021-01-05,17:38:24,Technical Support,Y,Y,81.0,111.0,6.0,,,,,-100
ID0282,Joe,2021-01-05,17:38:24,Streaming,Y,Y,65.0,406.0,2.0,,,,,-100
ID0283,Martha,2021-01-05,17:44:10,Streaming,Y,Y,55.0,184.0,4.0,,,,,-100
ID0285,Martha,2021-01-05,17:57:07,Technical Support,Y,Y,31.0,145.0,8.0,,,,,0
ID0286,Diane,2021-01-05,17:57:07,Streaming,Y,Y,45.0,313.0,4.0,,,,,-100
ID0288,Stewart,2021-01-06,9:08:38,Payment related,Y,Y,43.0,129.0,10.0,,,,,100
ID0289,Stewart,2021-01-06,10:06:14,Technical Support,Y,Y,55.0,356.0,8.0,,,,,0
ID0290,Stewart,2021-01-06,10:06:14,Contract related,Y,Y,63.0,139.0,6.0,,,,,-100
ID0292,Jim,2021-01-06,10:07:41,Contract related,Y,Y,122.0,352.0,2.0,,,,,-100
ID0293,Stewart,2021-01-06,10:32:10,Contract related,Y,Y,71.0,159.0,8.0,,,,,0
ID0294,Jim,2021-01-06,10:32:10,Technical Support,Y,Y,54.0,297.0,8.0,,,,,0
ID0295,Stewart,2021-01-06,10:42:14,Streaming,Y,Y,74.0,202.0,8.0,,,,,0
ID0296,Stewart,2021-01-06,10:42:14,Admin Support,Y,Y,125.0,287.0,8.0,,,,,0
ID0297,Dan,2021-01-06,11:12:29,Payment related,Y,Y,110.0,223.0,6.0,,,,,-100
ID0299,Martha,2021-01-06,11:29:46,Technical Support,Y,Y,74.0,91.0,10.0,,,,,100
ID0300,Diane,2021-01-06,11:29:46,Payment related,Y,Y,80.0,267.0,8.0,,,,,0
ID0302,Joe,2021-01-06,11:38:24,Contract related,Y,Y,110.0,234.0,4.0,,,,,-100
ID0303,Stewart,2021-01-06,11:45:36,Payment related,Y,Y,26.0,188.0,6.0,,,,,-100
ID0305,Joe,2021-01-06,12:05:46,Admin Support,Y,Y,97.0,107.0,6.0,,,,,-100
ID0306,Dan,2021-01-06,12:05:46,Admin Support,Y,N,82.0,340.0,6.0,,,,,-100
ID0307,Becky,2021-01-06,12:07:12,Streaming,Y,N,102.0,353.0,10.0,,,,,100
ID0308,Jim,2021-01-06,12:07:12,Admin Support,Y,Y,120.0,52.0,10.0,,,,,100
ID0309,Greg,2021-01-06,13:30:43,Streaming,Y,Y,70.0,319.0,6.0,,,,,-100
ID0311,Stewart,2021-01-06,13:58:05,Payment related,Y,Y,122.0,176.0,6.0,,,,,-100
ID0313,Joe,2021-01-06,14:03:50,Payment related,Y,Y,19.0,55.0,2.0,,,,,-100
ID0314,Greg,2021-01-06,14:03:50,Payment related,Y,Y,71.0,157.0,8.0,,,,,0
ID0315,Joe,2021-01-06,14:13:55,Technical Support,Y,Y,24.0,299.0,2.0,,,,,-100
ID0316,Martha,2021-01-06,14:13:55,Technical Support,Y,Y,67.0,336.0,2.0,,,,,-100
ID0317,Martha,2021-01-06,14:32:38,Streaming,Y,N,57.0,254.0,6.0,,,,,-100
ID0318,Diane,2021-01-06,14:32:38,Streaming,Y,Y,108.0,303.0,8.0,,,,,0
ID0319,Stewart,2021-01-06,14:57:07,Payment related,Y,Y,99.0,248.0,8.0,,,,,0
ID0320,Stewart,2021-01-06,14:57:07,Payment related,Y,Y,56.0,292.0,2.0,,,,,-100
ID0321,Stewart,2021-01-06,15:02:53,Payment related,Y,Y,121.0,237.0,6.0,,,,,-100
ID0323,Joe,2021-01-06,15:12:58,Contract related,Y,Y,72.0,360.0,2.0,,,,,-100
ID0324,Greg,2021-01-06,15:12:58,Contract related,Y,Y,54.0,375.0,8.0,,,,,0
ID0325,Martha,2021-01-06,16:17:46,Admin Support,Y,Y,30.0,276.0,6.0,,,,,-100
